apm_code,nombre,estado,lifecycle_status,clase_aplicacion,tipo_de_aplicacion,icr_relevant,data_protection_relevant
AP24558.04,SAP CCS SP - I&N Readings,Active,Production,Business Transactional,COTS (Commercial Off-The-Shelf customized),false,false
AP24558.80,SAP CCS SP - I&N Remote Metering,Active,Production,Business Transactional,COTS (Commercial Off-The-Shelf customized),false,false
AP24558.78,SAP CCS SP - I&N Underground,Active,Production,Business Transactional,COTS (Commercial Off-The-Shelf customized),false,false
AP24558.17,SAP CCS SP - MKT Baixa Renda,Active,Production,Business Transactional,COTS (Commercial Off-The-Shelf NOT customized),false,false
AP24558.18,SAP CCS SP - MKT Clandestina,Active,Production,Business Transactional,COTS (Commercial Off-The-Shelf NOT customized),false,false
AP24558.19,SAP CCS SP - MKT Cobrança,Active,Production,Business Transactional,COTS (Commercial Off-The-Shelf NOT customized),false,false
AP24558.21,SAP CCS SP - MKT Diretoria Comercial,Active,Production,Business Transactional,COTS (Commercial Off-The-Shelf NOT customized),false,true
AP24558.01,SAP CCS SP - MKT Faturamento,Active,Production,Business Transactional,COTS (Commercial Off-The-Shelf NOT customized),false,true
AP24558.22,SAP CCS SP - MKT Gestão Comercial,Active,Production,Business Transactional,COTS (Commercial Off-The-Shelf NOT customized),false,false
AP24558.24,SAP CCS SP - MKT Gestão da Receita,Active,Production,Business Transactional,COTS (Commercial Off-The-Shelf NOT customized),false,false
AP24558.26,SAP CCS SP - MKT Marketing,Active,Production,Business Transactional,COTS (Commercial Off-The-Shelf NOT customized),false,false
AP24558.27,SAP CCS SP - MKT Operação Comercial,Active,Production,Business Transactional,COTS (Commercial Off-The-Shelf NOT customized),false,false
AP24558.28,SAP CCS SP - MKT Operação Maintenance,Active,Production,Business Transactional,COTS (Commercial Off-The-Shelf NOT customized),false,false
AP24558.32,SAP CCS SP - MKT Perfil (TI),Active,Production,Business Transactional,COTS (Commercial Off-The-Shelf NOT customized),false,false
AP24558.30,SAP CCS SP - MKT Poder Publico,Active,Production,Business Transactional,COTS (Commercial Off-The-Shelf NOT customized),false,false
